,Date,Load_megawatthours,Zone
8,2016-01-01 08:00:00,4607.1,N.Y.C.
19,2016-01-01 09:00:00,4797.0,N.Y.C.
30,2016-01-01 10:00:00,4968.4,N.Y.C.
41,2016-01-01 11:00:00,5096.0,N.Y.C.
49,2016-01-01 12:00:00,5209.4,N.Y.C.
63,2016-01-01 13:00:00,5256.4,N.Y.C.
74,2016-01-01 14:00:00,5348.7,N.Y.C.
85,2016-01-01 15:00:00,5394.0,N.Y.C.
96,2016-01-01 16:00:00,5508.8,N.Y.C.
107,2016-01-01 17:00:00,5733.2,N.Y.C.
118,2016-01-01 18:00:00,5751.5,N.Y.C.
129,2016-01-01 19:00:00,5699.7,N.Y.C.
140,2016-01-01 20:00:00,5606.4,N.Y.C.
151,2016-01-01 21:00:00,5501.3,N.Y.C.
162,2016-01-01 22:00:00,5319.0,N.Y.C.
173,2016-01-01 23:00:00,5066.5,N.Y.C.
184,2016-01-02 00:00:00,4808.3,N.Y.C.
195,2016-01-02 01:00:00,4593.7,N.Y.C.
206,2016-01-02 02:00:00,4431.0,N.Y.C.
217,2016-01-02 03:00:00,4337.0,N.Y.C.
228,2016-01-02 04:00:00,4307.4,N.Y.C.
239,2016-01-02 05:00:00,4375.1,N.Y.C.
250,2016-01-02 06:00:00,4529.6,N.Y.C.
261,2016-01-02 07:00:00,4692.7,N.Y.C.
272,2016-01-02 08:00:00,4939.8,N.Y.C.
283,2016-01-02 09:00:00,5191.1,N.Y.C.
294,2016-01-02 10:00:00,5366.3,N.Y.C.
305,2016-01-02 11:00:00,5464.3,N.Y.C.
316,2016-01-02 12:00:00,5488.8,N.Y.C.
327,2016-01-02 13:00:00,5457.8,N.Y.C.
338,2016-01-02 14:00:00,5451.5,N.Y.C.
349,2016-01-02 15:00:00,5463.2,N.Y.C.
360,2016-01-02 16:00:00,5633.5,N.Y.C.
371,2016-01-02 17:00:00,5890.9,N.Y.C.
382,2016-01-02 18:00:00,5915.5,N.Y.C.
393,2016-01-02 19:00:00,5851.5,N.Y.C.
404,2016-01-02 20:00:00,5741.7,N.Y.C.
415,2016-01-02 21:00:00,5622.7,N.Y.C.
426,2016-01-02 22:00:00,5419.1,N.Y.C.
437,2016-01-02 23:00:00,5169.2,N.Y.C.
448,2016-01-03 00:00:00,4887.1,N.Y.C.
