disp_avg,t_cent
1.2049450882427535e-09,2020-02-09 01:30:00
1.0384638088598146e-09,2020-02-09 04:30:00
7.134706060135383e-10,2020-02-09 07:30:00
7.049966976238792e-10,2020-02-09 10:30:00
1.060874968794802e-09,2020-02-09 13:30:00
1.248781305462934e-09,2020-02-09 16:30:00
1.2937393894628666e-09,2020-02-09 19:30:00
1.2991833064842248e-09,2020-02-09 22:30:00
1.1715000428912309e-09,2020-02-10 01:30:00
9.514660720968552e-10,2020-02-10 04:30:00
7.823897917471996e-10,2020-02-10 07:30:00
1.121942914427233e-09,2020-02-10 10:30:00
1.8261607712994161e-09,2020-02-10 13:30:00
1.61618729739034e-09,2020-02-10 16:30:00
1.5520564909390603e-09,2020-02-10 19:30:00
1.509823427033783e-09,2020-02-10 22:30:00
1.3090858070702067e-09,2020-02-11 01:30:00
1.032465571523571e-09,2020-02-11 04:30:00
7.576743709580145e-10,2020-02-11 07:30:00
1.1464863117345636e-09,2020-02-11 10:30:00
1.8427357301922033e-09,2020-02-11 13:30:00
1.616946700426424e-09,2020-02-11 16:30:00
1.5742589000443941e-09,2020-02-11 19:30:00
1.5804134105045827e-09,2020-02-11 22:30:00
1.3613584110677604e-09,2020-02-12 01:30:00
1.0473945471950535e-09,2020-02-12 04:30:00
7.909497586409576e-10,2020-02-12 07:30:00
1.1641710612445589e-09,2020-02-12 10:30:00
1.8883272356040623e-09,2020-02-12 13:30:00
1.6351159627195556e-09,2020-02-12 16:30:00
1.57783832995231e-09,2020-02-12 19:30:00
1.5885883055958831e-09,2020-02-12 22:30:00
1.3453045925179265e-09,2020-02-13 01:30:00
1.0460821632663818e-09,2020-02-13 04:30:00
7.975310999518491e-10,2020-02-13 07:30:00
1.1401025490570497e-09,2020-02-13 10:30:00
1.8052988495877435e-09,2020-02-13 13:30:00
1.5817860178067217e-09,2020-02-13 16:30:00
1.5288112899799235e-09,2020-02-13 19:30:00
1.5389386712382804e-09,2020-02-13 22:30:00
1.3788849461320113e-09,2020-02-14 01:30:00
1.0884237330330907e-09,2020-02-14 04:30:00
8.206206784116862e-10,2020-02-14 07:30:00
1.1850484891164709e-09,2020-02-14 10:30:00
1.879207686372371e-09,2020-02-14 13:30:00
1.6402407709264717e-09,2020-02-14 16:30:00
1.5752149340931947e-09,2020-02-14 19:30:00
1.4978839033497738e-09,2020-02-14 22:30:00
1.3145394943708243e-09,2020-02-15 01:30:00
1.0798646260871286e-09,2020-02-15 04:30:00
7.770301738598436e-10,2020-02-15 07:30:00
