disp_avg,t_cent,daily_average
1.1078007052947617e-09,2020-02-09 00:30:00+00:00,
1.0795286612215616e-09,2020-02-09 01:30:00+00:00,
1.026665517805236e-09,2020-02-09 02:30:00+00:00,
9.982164778447428e-10,2020-02-09 03:30:00+00:00,
9.570201953341382e-10,2020-02-09 04:30:00+00:00,
8.386021709743318e-10,2020-02-09 05:30:00+00:00,
7.245335433987213e-10,2020-02-09 06:30:00+00:00,
6.38220614983911e-10,2020-02-09 07:30:00+00:00,
5.831096102497506e-10,2020-02-09 08:30:00+00:00,
5.753458667293272e-10,2020-02-09 09:30:00+00:00,
6.23367773139804e-10,2020-02-09 10:30:00+00:00,
7.37639738217193e-10,2020-02-09 11:30:00+00:00,
8.555984272350118e-10,2020-02-09 12:30:00+00:00,
9.703846255443125e-10,2020-02-09 13:30:00+00:00,
1.0271727900514183e-09,2020-02-09 14:30:00+00:00,
1.0680728993361488e-09,2020-02-09 15:30:00+00:00,
1.112328334274472e-09,2020-02-09 16:30:00+00:00,
1.1466086603638454e-09,2020-02-09 17:30:00+00:00,
1.1443272728974025e-09,2020-02-09 18:30:00+00:00,
1.1300333815273324e-09,2020-02-09 19:30:00+00:00,
1.1627563568120055e-09,2020-02-09 20:30:00+00:00,
1.175715609639058e-09,2020-02-09 21:30:00+00:00,
1.1544599603745604e-09,2020-02-09 22:30:00+00:00,
1.1170948270454659e-09,2020-02-09 23:30:00+00:00,9.56441834178938e-10
1.1088893469496465e-09,2020-02-10 00:30:00+00:00,9.564871942478915e-10
1.0250340902235436e-09,2020-02-10 01:30:00+00:00,9.542165871229742e-10
1.0014667374051427e-09,2020-02-10 02:30:00+00:00,9.53166637939637e-10
9.452560923424025e-10,2020-02-10 03:30:00+00:00,9.50959955210373e-10
8.61887328705959e-10,2020-02-10 04:30:00+00:00,9.46996085767532e-10
7.677216685559379e-10,2020-02-10 05:30:00+00:00,9.440427315000988e-10
7.185992810102006e-10,2020-02-10 06:30:00+00:00,9.437954705672437e-10
6.97611990692757e-10,2020-02-10 07:30:00+00:00,9.462701112217792e-10
7.194671543257824e-10,2020-02-10 08:30:00+00:00,9.519516755582805e-10
7.7856819255326e-10,2020-02-10 09:30:00+00:00,9.60419272467611e-10
1.0166808583901228e-09,2020-02-10 10:30:00+00:00,9.768073176863743e-10
1.2968934016988628e-09,2020-02-10 11:30:00+00:00,1.0001095536647772e-09
1.5391242284577308e-09,2020-02-10 12:30:00+00:00,1.0285897953823906e-09
1.6816098405897449e-09,2020-02-10 13:30:00+00:00,1.058224179342617e-09
1.6129908661936726e-09,2020-02-10 14:30:00+00:00,1.082633265848544e-09
1.4402519878998067e-09,2020-02-10 15:30:00+00:00,1.09814072787203e-09
1.3938164623222242e-09,2020-02-10 16:30:00+00:00,1.1098693998740194e-09
1.4190520287583224e-09,2020-02-10 17:30:00+00:00,1.121221206890456e-09
1.3594213524068756e-09,2020-02-10 18:30:00+00:00,1.1301834602033506e-09
1.3609809060461885e-09,2020-02-10 19:30:00+00:00,1.1398062737249694e-09
1.3505706745908833e-09,2020-02-10 20:30:00+00:00,1.1476318702990894e-09
1.336837490353031e-09,2020-02-10 21:30:00+00:00,1.154345281995505e-09
1.330390709171876e-09,2020-02-10 22:30:00+00:00,1.1616757298620598e-09
1.3014297679373895e-09,2020-02-10 23:30:00+00:00,1.1693563523992232e-09
1.264536083156275e-09,2020-02-11 00:30:00+00:00,1.1758416330744994e-09
1.1570008354238022e-09,2020-02-11 01:30:00+00:00,1.1813402474578435e-09
1.0810760749439543e-09,2020-02-11 02:30:00+00:00,1.1846573031886273e-09
9.986853341663295e-10,2020-02-11 03:30:00+00:00,1.186883521597958e-09
9.353636943229214e-10,2020-02-11 04:30:00+00:00,1.1899450368319978e-09
8.455614817950042e-10,2020-02-11 05:30:00+00:00,1.1931883623836256e-09
7.140021694457938e-10,2020-02-11 06:30:00+00:00,1.192996816068442e-09
6.505863003274997e-10,2020-02-11 07:30:00+00:00,1.191037412303223e-09
6.804634482189876e-10,2020-02-11 08:30:00+00:00,1.1894122578821065e-09
7.938007571044341e-10,2020-02-11 09:30:00+00:00,1.190046948071739e-09
1.0455169352406264e-09,2020-02-11 10:30:00+00:00,1.1912484512738432e-09
1.3105621701210426e-09,2020-02-11 11:30:00+00:00,1.191817983291434e-09
1.5828433991395609e-09,2020-02-11 12:30:00+00:00,1.193639615403177e-09
1.6857611379224992e-09,2020-02-11 13:30:00+00:00,1.1938125861253752e-09
1.6026142501883042e-09,2020-02-11 14:30:00+00:00,1.1933802271251512e-09
1.478959887767594e-09,2020-02-11 15:30:00+00:00,1.194993056286309e-09
1.4105913385539387e-09,2020-02-11 16:30:00+00:00,1.1956920094626307e-09
1.3584320771371399e-09,2020-02-11 17:30:00+00:00,1.1931661781450813e-09
1.3648320587444436e-09,2020-02-11 18:30:00+00:00,1.19339162424248e-09
1.3648221450948265e-09,2020-02-11 19:30:00+00:00,1.1935516758695066e-09
1.4086078094262623e-09,2020-02-11 20:30:00+00:00,1.195969889820981e-09
1.398751762591659e-09,2020-02-11 21:30:00+00:00,1.198549651164257e-09
1.3900319625746547e-09,2020-02-11 22:30:00+00:00,1.2010347033893728e-09
1.371945784049888e-09,2020-02-11 23:30:00+00:00,1.2039728707273936e-09
1.3055613157556698e-09,2020-02-12 00:30:00+00:00,1.205682255419035e-09
1.1929587682341043e-09,2020-02-12 01:30:00+00:00,1.207180502619464e-09
1.1167592362195684e-09,2020-02-12 02:30:00+00:00,1.2086673010059479e-09
1.0341151626453611e-09,2020-02-12 03:30:00+00:00,1.2101435438592411e-09
9.31523382232788e-10,2020-02-12 04:30:00+00:00,1.2099835308554853e-09
8.392194200953342e-10,2020-02-12 05:30:00+00:00,1.2097192782846658e-09
7.347528634971004e-10,2020-02-12 06:30:00+00:00,1.2105838905368035e-09
6.818932632051544e-10,2020-02-12 07:30:00+00:00,1.2118883473233723e-09
7.126116559526259e-10,2020-02-12 08:30:00+00:00,1.2132278559789408e-09
8.091174124409129e-10,2020-02-12 09:30:00+00:00,1.213866049951294e-09
1.0567537360631604e-09,2020-02-12 10:30:00+00:00,1.2143342499855663e-09
1.3366733378421905e-09,2020-02-12 11:30:00+00:00,1.2154222153072808e-09
1.628550465018962e-09,2020-02-12 12:30:00+00:00,1.217326676385589e-09
1.7469304568128182e-09,2020-02-12 13:30:00+00:00,1.2198753980060192e-09
1.6214645087372165e-09,2020-02-12 14:30:00+00:00,1.2206608254455572e-09
1.4941879737914457e-09,2020-02-12 15:30:00+00:00,1.2212953290298842e-09
1.4418378501558553e-09,2020-02-12 16:30:00+00:00,1.2225972670132974e-09
1.3778089068877285e-09,2020-02-12 17:30:00+00:00,1.2234046349195722e-09
1.3965902467843603e-09,2020-02-12 18:30:00+00:00,1.2247278927545686e-09
1.3395186658010894e-09,2020-02-12 19:30:00+00:00,1.2236735811173295e-09
1.397197300814631e-09,2020-02-12 20:30:00+00:00,1.2231981432585116e-09
1.4029601407250444e-09,2020-02-12 21:30:00+00:00,1.2233734923474028e-09
1.4233512970351961e-09,2020-02-12 22:30:00+00:00,1.2247617979499253e-09
1.356126106337497e-09,2020-02-12 23:30:00+00:00,1.224102644711909e-09
1.2885196646170632e-09,2020-02-13 00:30:00+00:00,1.2233925759144672e-09
1.1726894554827353e-09,2020-02-13 01:30:00+00:00,1.2225480212164935e-09
1.1169077736231113e-09,2020-02-13 02:30:00+00:00,1.2225542102749745e-09
1.0549388045423851e-09,2020-02-13 03:30:00+00:00,1.2234218620206839e-09
9.222702599106682e-10,2020-02-13 04:30:00+00:00,1.223036315257262e-09
8.312489773869746e-10,2020-02-13 05:30:00+00:00,1.2227042134777472e-09
7.474896865169501e-10,2020-02-13 06:30:00+00:00,1.2232349144369076e-09
6.965941901671005e-10,2020-02-13 07:30:00+00:00,1.223847453060322e-09
6.966551543677538e-10,2020-02-13 08:30:00+00:00,1.2231825988276192e-09
7.8947421682545e-10,2020-02-13 09:30:00+00:00,1.2223641323436414e-09
1.0371057531427743e-09,2020-02-13 10:30:00+00:00,1.2215454663886253e-09
1.3066852573829357e-09,2020-02-13 11:30:00+00:00,1.2202959630361565e-09
1.5470811929048614e-09,2020-02-13 12:30:00+00:00,1.2169014100314021e-09
1.6482808569661105e-09,2020-02-13 13:30:00+00:00,1.2127910100377894e-09
1.572327282032489e-09,2020-02-13 14:30:00+00:00,1.210743625591759e-09
1.4453982253536762e-09,2020-02-13 15:30:00+00:00,1.2087107194068517e-09
1.3763148000105532e-09,2020-02-13 16:30:00+00:00,1.2059805923174645e-09
1.342819905480605e-09,2020-02-13 17:30:00+00:00,1.204522717258834e-09
1.3366418699057462e-09,2020-02-13 18:30:00+00:00,1.2020248682222252e-09
1.3148472931236867e-09,2020-02-13 19:30:00+00:00,1.2009968943606667e-09
1.351677032092831e-09,2020-02-13 20:30:00+00:00,1.1991002164972583e-09
1.356730082826334e-09,2020-02-13 21:30:00+00:00,1.197173964084812e-09
1.3550249576752154e-09,2020-02-13 22:30:00+00:00,1.194327033278146e-09
1.3320302831240412e-09,2020-02-13 23:30:00+00:00,1.1933230406442522e-09
1.3002068792823544e-09,2020-02-14 00:30:00+00:00,1.1938100079219727e-09
1.2074174662292164e-09,2020-02-14 01:30:00+00:00,1.1952570083697428e-09
1.1663574831818342e-09,2020-02-14 02:30:00+00:00,1.1973174129346896e-09
1.0352216243777217e-09,2020-02-14 03:30:00+00:00,1.1964958637611618e-09
9.77158264487887e-10,2020-02-14 04:30:00+00:00,1.1987828639518794e-09
8.924417511339622e-10,2020-02-14 05:30:00+00:00,1.2013325628580038e-09
7.899703676743969e-10,2020-02-14 06:30:00+00:00,1.203102591239564e-09
7.265723121074535e-10,2020-02-14 07:30:00+00:00,1.2043516796537456e-09
7.088918164367846e-10,2020-02-14 08:30:00+00:00,1.2048615405732886e-09
8.210925452209666e-10,2020-02-14 09:30:00+00:00,1.2061789709231017e-09
1.0738364405362667e-09,2020-02-14 10:30:00+00:00,1.207709416231164e-09
1.3526544484741116e-09,2020-02-14 11:30:00+00:00,1.2096247991932963e-09
1.6690301028477386e-09,2020-02-14 12:30:00+00:00,1.2147060037742496e-09
1.7086844506600489e-09,2020-02-14 13:30:00+00:00,1.2172228201781635e-09
1.597771555121949e-09,2020-02-14 14:30:00+00:00,1.2182829982235579e-09
1.5184644402961109e-09,2020-02-14 15:30:00+00:00,1.2213274238461591e-09
1.4336257316336608e-09,2020-02-14 16:30:00+00:00,1.2237153793304553e-09
1.3743601183219803e-09,2020-02-14 17:30:00+00:00,1.2250295548655127e-09
1.4208179643538412e-09,2020-02-14 18:30:00+00:00,1.2285368921341832e-09
1.3690996027744447e-09,2020-02-14 19:30:00+00:00,1.2307974050362982e-09
1.3446069573803445e-09,2020-02-14 20:30:00+00:00,1.2305028185899443e-09
1.319968857423665e-09,2020-02-14 21:30:00+00:00,1.2289711008648331e-09
1.3409376420282917e-09,2020-02-14 22:30:00+00:00,1.2283841293795447e-09
1.292314300396566e-09,2020-02-14 23:30:00+00:00,1.2267292967658997e-09
1.232555806610632e-09,2020-02-15 00:30:00+00:00,1.2239105020712447e-09
1.1672641284809837e-09,2020-02-15 01:30:00+00:00,1.222237446331735e-09
